Symbol,Date,Close
XOM,2/3/2014,90.05
XOM,2/4/2014,90.02
XOM,2/5/2014,89.58
XOM,2/6/2014,89.8
XOM,2/7/2014,90.58
XOM,2/10/2014,89.52
XOM,2/11/2014,90.84
XOM,2/12/2014,91.08
XOM,2/13/2014,91.43
XOM,2/14/2014,94.11
XOM,2/18/2014,94.07
XOM,2/19/2014,93.95
XOM,2/20/2014,95.37
XOM,2/21/2014,95.03
XOM,2/24/2014,96.44
XOM,2/25/2014,96.31
XOM,2/26/2014,95.79
XOM,2/27/2014,95.84
XOM,2/28/2014,96.27
XOM,3/3/2014,95.5
XOM,3/4/2014,96.52
XOM,3/5/2014,93.8
XOM,3/6/2014,93.76
XOM,3/7/2014,94.99
XOM,3/10/2014,95.5
XOM,3/11/2014,94.01
XOM,3/12/2014,94.21
XOM,3/13/2014,93.64
XOM,3/14/2014,93.47
XOM,3/17/2014,94.32
XOM,3/18/2014,94.71
XOM,3/19/2014,93.73
XOM,3/20/2014,94.58
XOM,3/21/2014,94.31
XOM,3/24/2014,94.64
XOM,3/25/2014,94.91
XOM,3/26/2014,94.7
XOM,3/27/2014,96.24
XOM,3/28/2014,97.7
XOM,3/31/2014,97.68
XOM,4/1/2014,97.73
XOM,4/2/2014,97.95
XOM,4/3/2014,97.93
XOM,4/4/2014,97.36
XOM,4/7/2014,96.78
XOM,4/8/2014,97.45
XOM,4/9/2014,97.33
XOM,4/10/2014,96.78
XOM,4/11/2014,96.72
XOM,4/14/2014,97.86
XOM,4/15/2014,98.68
XOM,4/16/2014,99.94
XOM,4/17/2014,100.42
XOM,4/21/2014,100.93
XOM,4/22/2014,100.37
XOM,4/23/2014,100.5
XOM,4/24/2014,100.01
XOM,4/25/2014,100.41
XOM,4/28/2014,101.17
XOM,4/29/2014,101.45
XOM,4/30/2014,102.41
XOM,5/1/2014,101.41
XOM,5/2/2014,102.01
XOM,5/5/2014,102.91
XOM,5/6/2014,102.67
XOM,5/7/2014,103.11
XOM,5/8/2014,102.32
XOM,5/9/2014,101.95
XOM,5/12/2014,102.23
XOM,5/13/2014,102.36
XOM,5/14/2014,102.29
XOM,5/15/2014,100.78
XOM,5/16/2014,100.74
XOM,5/19/2014,100.87
XOM,5/20/2014,100.67
XOM,5/21/2014,102.03
XOM,5/22/2014,101.5
XOM,5/23/2014,101.32
XOM,5/27/2014,101.36
XOM,5/28/2014,101.06
XOM,5/29/2014,101.27
XOM,5/30/2014,100.53
XOM,6/2/2014,99.94
XOM,6/3/2014,100.39
XOM,6/4/2014,100.04
XOM,6/5/2014,100.55
XOM,6/6/2014,101.6
XOM,6/9/2014,101.52
XOM,6/10/2014,101.46
XOM,6/11/2014,101.95
XOM,6/12/2014,101.66
XOM,6/13/2014,102.65
XOM,6/16/2014,102.92
XOM,6/17/2014,102.42
XOM,6/18/2014,102.73
XOM,6/19/2014,102.63
XOM,6/20/2014,103.83
XOM,6/23/2014,104.38
XOM,6/24/2014,102.73
XOM,6/25/2014,102.14
XOM,6/26/2014,102.03
XOM,6/27/2014,101.21
XOM,6/30/2014,100.68
XOM,7/1/2014,101.36
XOM,7/2/2014,101.57
XOM,7/3/2014,102.59
XOM,7/7/2014,102.65
XOM,7/8/2014,102.83
XOM,7/9/2014,103.55
XOM,7/10/2014,102.57
XOM,7/11/2014,101.74
XOM,7/14/2014,102.68
XOM,7/15/2014,102.39
